,category,desc
5,"A Member Of The Far-Right Proud Boys Menaced A Twitter User On His Doorstep-A videographer made fun of the far-right extremist group online, so they showed up at his house.",POLITICS
45,"Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150,000 Females A Year’-Every Republican on the judiciary committee voted for Wendy Vitter.",POLITICS
31,"Trump's New 'MAGA'-Themed Swimwear Sinks On Twitter-""Does this swimsuit make me look racist?""",COMEDY
34,"Trump Roasted For Rushing To Defend Tomi Lahren While Ignoring Real Victims-""Trump's more concerned about Tomi Lahren being splashed with water than Flint still being entirely without safe water.""",POLITICS
44,'Infinity War' Writers Try To Clear Up Marvel's Problematic Timeline-Stephen McFeely and Christopher Markus clarify when Thanos may have acquired the Infinity Gauntlet.,ENTERTAINMENT
84,"Kentucky Attorney Running For Judge Dies 1 Day After Primary Win-Danny Alvarez, a married of father of three, was vying for Jefferson County District Court judge in Louisville.",POLITICS
16,"'Trump's Son Should Be Concerned': FBI Obtained Wiretaps Of Putin Ally Who Met With Trump Jr.-The wiretaps feature conversations between Alexander Torshin and Alexander Romanov, a convicted Russian money launderer.",POLITICS
65,All The Things The NRA Has Blamed For The Texas School Shooting-Godlessness. Too many doors in schools. Ritalin. Guess what's not on the list?,POLITICS
7,"Donald Trump Is Lovin' New McDonald's Jingle In 'Tonight Show' Bit-It's catchy, all right.",ENTERTAINMENT
69,Trump's Scottish Golf Resort Pays Women Significantly Less Than Men: Report-And there are four times as many male as female executives.,POLITICS
56,Here's What Happens When A Catholic Hospital Won't Try To Save You-Catholic hospital systems are pushing Trump to expand “conscience rights” – even though faith-based medicine has nearly killed some of their patients.,POLITICS
19,How The Chinese Exclusion Act Can Help Us Understand Immigration Politics Today-The Chinese Exclusion Act barely gets mentioned in U.S. history classes. A new PBS documentary from directors Ric Burns and Li-Shin Yu could change that.,POLITICS
70,Jimmy Kimmel Knows Why Iran's Supreme Leader Watches 'Tom And Jerry'-The host reimagined the cartoon after Ayatollah Ali Khamenei brought up the cat and mouse in defiance of U.S. threats.,COMEDY
25,What To Watch On Hulu That’s New This Week-You're getting a recent Academy Award-winning movie.,ENTERTAINMENT
53,Seth Meyers Has 1 Funny Regret After Trump Cancels North Korea Summit-There goes the one token of his appreciation.,COMEDY
13,Ryan Zinke Looks To Reel Back Some Critics With 'Grand Pivot' To Conservation-The interior secretary attempts damage control with hunting and fishing groups that didn’t like his fossil fuel focus.,POLITICS
61,Emilia Clarke Dishes On Her Final 'Game Of Thrones' Scene-Now we're really curious about the farewell season.,ENTERTAINMENT
3,North Korea Still Open To Talks After Trump Cancels Summit-Trump’s announcement came after repeated threats by North Korea to pull out of the summit over what it saw as confrontational remarks by U.S. officials.,WORLD NEWS
17,"Bishop Michael Curry Joins Christian March To White House To 'Reclaim Jesus'-For Curry and others, being Christian means rejecting white nationalism and misogyny, while protecting immigrants, refugees and the poor.",POLITICS
